"","P74","A","B","C","D","E","P","Psi","049","056","0142","Byz","Lect","33","81","88","104","181","326","330","436","451","614","629","630","945","1241","1505","1739","1877","2127","2412","2492","2495","it-ar","it-d","it-e","it-gig","it-h","it-l","it-p","it-r","vg","syr-p","syr-h","cop-sa","cop-bo","arm","eth","geo","Lucifer","Chrysostom","Irenaeus","Origen","Aleph-c"
"Lect",0.66,0.57,0.69,0.7,0.76,0.47,0.12,0.37,0.11,0.13,0.17,0.07,0,0.59,0.59,0.34,0.24,0.38,0.27,0.1,0.14,0.1,0.29,0.31,0.33,0.33,0.06,0.2,0.38,0.17,0.13,0.29,0.11,0.23,0.58,0.77,0.51,0.59,0.583,0.917,0.825,0.682,0.63,0.46,0.38,0.64,0.63,0.55,0.824,0.5,0.625,0.51,0.767,0.571,0.667
"33",0.412,0.318,0.473,0.434,0.777,0.493,0.581,0.453,0.547,0.534,0.547,0.547,0.59,0,0.384,0.5,0.541,0.284,0.412,0.554,0.419,0.547,0.48,0.507,0.426,0.345,0.507,0.493,0.338,0.561,0.568,0.493,0.52,0.5,0.554,0.734,0.507,0.574,0.708,0.639,0.85,0.727,0.514,0.534,0.48,0.5,0.466,0.453,0.681,0.439,0.687,0.672,0.667,0.524,0.567
"81",0.368,0.216,0.352,0.451,0.826,0.56,0.568,0.464,0.512,0.496,0.496,0.52,0.59,0.384,0,0.496,0.472,0.344,0.44,0.504,0.448,0.512,0.512,0.472,0.4,0.352,0.512,0.504,0.32,0.48,0.528,0.52,0.512,0.52,0.496,0.816,0.544,0.584,0.75,0.583,0.9,0.591,0.408,0.536,0.496,0.464,0.384,0.48,0.714,0.408,0.687,0.712,0.8,0.667,0.6
"88",0.62,0.564,0.676,0.434,0.686,0.451,0.307,0.46,0.279,0.291,0.313,0.267,0.34,0.5,0.496,0,0.296,0.415,0.352,0.296,0.33,0.291,0.413,0.375,0.393,0.391,0.263,0.341,0.419,0.246,0.335,0.413,0.313,0.374,0.559,0.727,0.514,0.629,0.583,0.806,0.8,0.727,0.559,0.448,0.436,0.581,0.571,0.455,0.615,0.486,0.625,0.352,0.667,0.667,0.467
"104",0.614,0.587,0.698,0.496,0.645,0.421,0.251,0.375,0.212,0.19,0.207,0.199,0.24,0.541,0.472,0.296,0,0.398,0.324,0.201,0.274,0.201,0.352,0.28,0.376,0.397,0.201,0.268,0.402,0.274,0.218,0.352,0.235,0.307,0.531,0.68,0.469,0.584,0.625,0.667,0.75,0.636,0.536,0.437,0.358,0.559,0.56,0.455,0.593,0.441,0.687,0.272,0.633,0.571,0.4
"181",0.497,0.386,0.557,0.363,0.628,0.415,0.449,0.358,0.398,0.386,0.415,0.409,0.38,0.284,0.344,0.415,0.398,0,0.347,0.415,0.341,0.409,0.386,0.429,0.364,0.301,0.369,0.386,0.312,0.398,0.415,0.386,0.409,0.392,0.5,0.672,0.44,0.545,0.542,0.667,0.8,0.682,0.517,0.431,0.33,0.506,0.486,0.386,0.637,0.42,0.562,0.52,0.633,0.476,0.433
"326",0.596,0.533,0.683,0.504,0.669,0.421,0.256,0.369,0.228,0.239,0.256,0.233,0.27,0.412,0.44,0.352,0.324,0.347,0,0.239,0.289,0.233,0.35,0.31,0.348,0.4,0.211,0.322,0.439,0.306,0.3,0.35,0.222,0.322,0.556,0.703,0.469,0.551,0.625,0.667,0.675,0.727,0.6,0.483,0.356,0.587,0.566,0.483,0.626,0.506,0.562,0.336,0.7,0.571,0.433
"330",0.649,0.622,0.716,0.566,0.62,0.415,0.105,0.352,0.133,0.132,0.157,0.062,0.1,0.554,0.504,0.296,0.201,0.415,0.239,0,0.269,0.011,0.351,0.256,0.399,0.448,0.132,0.25,0.459,0.19,0.141,0.348,0.152,0.274,0.565,0.641,0.451,0.562,0.542,0.667,0.7,0.727,0.585,0.42,0.344,0.609,0.589,0.511,0.582,0.54,0.687,0.208,0.633,0.571,0.467
"436",0.579,0.548,0.667,0.416,0.628,0.341,0.243,0.295,0.296,0.247,0.27,0.176,0.14,0.419,0.448,0.33,0.274,0.341,0.289,0.269,0,0.258,0.28,0.268,0.298,0.322,0.22,0.253,0.346,0.288,0.278,0.28,0.288,0.274,0.522,0.656,0.383,0.539,0.583,0.722,0.675,0.636,0.541,0.425,0.323,0.581,0.554,0.416,0.626,0.462,0.5,0.264,0.7,0.429,0.4
"451",0.643,0.617,0.716,0.558,0.612,0.402,0.1,0.347,0.128,0.132,0.146,0.057,0.1,0.547,0.512,0.291,0.201,0.409,0.233,0.011,0.258,0,0.34,0.25,0.388,0.437,0.132,0.25,0.454,0.19,0.141,0.337,0.147,0.28,0.554,0.633,0.44,0.551,0.542,0.667,0.65,0.727,0.579,0.42,0.347,0.598,0.577,0.506,0.582,0.547,0.625,0.208,0.6,0.571,0.467
"614",0.626,0.58,0.645,0.513,0.595,0.451,0.337,0.324,0.34,0.335,0.335,0.29,0.29,0.48,0.512,0.413,0.352,0.386,0.35,0.351,0.28,0.34,0,0.369,0.404,0.426,0.303,0.287,0.449,0.37,0.353,0.005,0.326,0.306,0.543,0.641,0.503,0.579,0.417,0.611,0.75,0.682,0.596,0.454,0.266,0.547,0.577,0.489,0.549,0.521,0.562,0.336,0.7,0.381,0.5
"629",0.536,0.476,0.601,0.513,0.678,0.433,0.28,0.381,0.262,0.25,0.28,0.256,0.31,0.507,0.472,0.375,0.28,0.429,0.31,0.256,0.268,0.25,0.369,0,0.375,0.417,0.238,0.274,0.417,0.292,0.28,0.381,0.28,0.292,0.423,0.695,0.482,0.512,0.625,0.611,0.725,0.545,0.399,0.423,0.363,0.536,0.458,0.482,0.582,0.494,0.625,0.392,0.7,0.524,0.533
"630",0.544,0.489,0.629,0.381,0.702,0.421,0.433,0.392,0.41,0.371,0.388,0.364,0.33,0.426,0.4,0.393,0.376,0.364,0.348,0.399,0.298,0.388,0.404,0.375,0,0.18,0.365,0.343,0.169,0.388,0.388,0.404,0.404,0.382,0.506,0.719,0.463,0.551,0.542,0.778,0.8,0.682,0.539,0.477,0.36,0.573,0.531,0.416,0.615,0.427,0.562,0.432,0.8,0.476,0.433
"945",0.48,0.421,0.585,0.372,0.669,0.384,0.464,0.398,0.448,0.404,0.415,0.392,0.33,0.345,0.352,0.391,0.397,0.301,0.4,0.448,0.322,0.437,0.426,0.417,0.18,0,0.41,0.344,0.109,0.421,0.443,0.437,0.459,0.388,0.519,0.664,0.429,0.539,0.625,0.667,0.8,0.545,0.525,0.471,0.421,0.531,0.509,0.41,0.659,0.399,0.5,0.448,0.7,0.429,0.267
"1241",0.626,0.59,0.705,0.513,0.653,0.372,0.1,0.33,0.122,0.148,0.157,0.068,0.06,0.507,0.512,0.263,0.201,0.369,0.211,0.132,0.22,0.132,0.303,0.238,0.365,0.41,0,0.239,0.438,0.19,0.163,0.299,0.125,0.263,0.56,0.656,0.446,0.567,0.542,0.722,0.675,0.682,0.59,0.414,0.317,0.581,0.583,0.478,0.615,0.513,0.625,0.232,0.667,0.524,0.433
"1505",0.614,0.58,0.661,0.496,0.669,0.384,0.254,0.295,0.266,0.234,0.254,0.187,0.2,0.493,0.504,0.341,0.268,0.386,0.322,0.25,0.253,0.25,0.287,0.274,0.343,0.344,0.239,0,0.362,0.283,0.223,0.289,0.266,0.102,0.527,0.687,0.434,0.562,0.583,0.722,0.725,0.682,0.557,0.385,0.293,0.575,0.554,0.478,0.582,0.484,0.562,0.296,0.7,0.476,0.467
